8b073eb61ad868df333f3cbb36a07a8fd60515dc,07/05/2013,02:00:00,07,2013,900,1.8,9.25,0.00,0.00,0.00,9.25,Cash,0,0
8b073f7fd75d3eedb62adbbb741fe47ce760d032,04/18/2013,03:15:00,04,2013,1620,14.9,30.65,5.00,0.00,6.00,41.65,Credit Card,16.3132,1
8b073fe87f46b8a794f47db33902183e76e75949,11/16/2013,05:30:00,11,2013,840,0.1,10.45,2.00,0.00,1.00,13.45,Credit Card,19.1387,1
8b0740eeef1939e88273356fdaef484adbc7b0d4,07/28/2013,01:45:00,07,2013,660,0.1,8.65,0.00,0.00,1.00,9.65,Cash,0,0
8b0742491951654518f0ca7210a3195bf89eba0f,10/24/2013,10:45:00,10,2013,1920,18.5,37.25,9.80,0.00,2.00,49.05,Credit Card,26.3087,1
8b0744522bde1a716ceec1ca42607c5d21e7812d,07/31/2013,08:15:00,07,2013,480,2.4,8.44,0.00,0.00,0.00,8.44,Cash,0,0
8b0745341696240856b2a9dd456f8696dfa63062,02/15/2013,12:45:00,02,2013,1260,9.2,21.65,5.90,0.00,2.00,29.55,Credit Card,27.2517,1
8b0745607069c17a2931b53d7cc489c27a7b7934,11/14/2013,04:15:00,11,2013,1260,8.2,19.45,4.86,0.00,0.00,24.31,Credit Card,24.9871,1
8b0745896735776f0df0a1d77667b85bb6c3d258,10/05/2013,07:15:00,10,2013,480,1.9,7.65,0.00,0.00,1.50,9.15,No Charge,0,1
8b0746b6bf7314670eca5792be10ae4c1ec95033,08/24/2013,01:30:00,08,2013,480,0.1,6.45,0.00,0.00,1.00,7.45,Cash,0,0
8b0746dbbbb7f6f8bb8c8bfcf08c2d19b96cf8d5,04/09/2013,11:15:00,04,2013,1500,1.8,13.85,0.00,0.00,0.00,13.85,Cash,0,0
8b0748b462a26edc2a319ef0e7c96f72f702e1a3,12/11/2013,05:30:00,12,2013,2040,0.64,20.25,4.05,0.00,0.00,24.30,Credit Card,20.0000,1
8b07492e482ff5219723094f410ff11e82cf2149,11/13/2013,06:15:00,11,2013,1020,0,9.45,5.00,0.00,2.00,16.45,Credit Card,52.9100,1
8b074a6055d25bb26abff6cadf6df7b3e94da795,11/14/2013,08:15:00,11,2013,240,0,5.45,1.50,0.00,0.00,6.95,Credit Card,27.5229,1
